Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Congo Rep.,COG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,4995556459,6120789899,4524927159,5048846806,5423887418,6295443692,6709637447,7215123369,7867089347,8056576587,8182234904,8656820207,8837141718,8833810017,9751593444,11124468007,11126475527,8340853867,8865767052,10116673165,9284423622,10352131283,10869737847
Costa Rica,CRI,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,28460113429,29129240016,30740240055,32236778671,33060183413,34652293430,36439936834,39235763322,41570996533,41684423673,44139825494,47158026397,50579306889,51543882626,54028541644,56554691899,58677550624,61936861361,63144097553,64212125547,59757777154,64744561680,66962723383
Cote d'Ivoire,CIV,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,49414855996,51278059088,53643787207,51373950026,56313558488,58691239135,64689709171,73572442170,78289485096,82964801585,87917580106,91073150629,95326219786,97649439109,1.01E+11
Croatia,HRV,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,41836467192,44057459345,48249842197,50453557759,52773936892,55192531552,55911625971,58724258466,60542796716,55148398742,54301502652,54840924381,53526030598,52678814816,51373102560,51566052429,53198245383,54887384780,56738413033,59053301891,56000713074,61928970068,66048106988
Cuba,CUB,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2692504903,..,..,..,..,..
Cyprus,CYP,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,12566346405,13262979715,13671942496,14267998833,15294323210,15892317617,16514648238,18124505808,19613225750,18333302444,19223356935,19052074187,18523803760,17226364266,17219353587,17758116013,18670537122,19572784490,20575215512,21368383020,19907920468,21014007457,22808811843
Czechia,CZE,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.14E+11,1.18E+11,1.21E+11,1.27E+11,1.31E+11,1.36E+11,1.41E+11,1.47E+11,1.51E+11,1.50E+11,1.52E+11,1.53E+11,1.51E+11,1.53E+11,1.55E+11,1.61E+11,1.67E+11,1.74E+11,1.80E+11,1.85E+11,1.71E+11,1.78E+11,1.77E+11
Denmark,DNK,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.02E+11,1.02E+11,1.03E+11,1.05E+11,1.10E+11,1.14E+11,1.17E+11,1.19E+11,1.20E+11,1.16E+11,1.16E+11,1.17E+11,1.17E+11,1.18E+11,1.19E+11,1.22E+11,1.24E+11,1.27E+11,1.32E+11,1.34E+11,1.32E+11,1.39E+11,1.37E+11
Djibouti,DJI,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,1965845976,2149257957,2374973307,2643643167,2923698045,2936373798,3122211945,3441529828,3771626386,..
